"gid","helock_area"
1,"8.49378490447998"
2,"0"
3,"0"
4,"0"
5,"0"
6,"42.10773849487305"
7,"8.884276390075684"
8,"9.836624145507812"
9,"37.34122848510742"
10,"3.4121599197387695"
11,"3.8261120319366455"
12,"15.26171875"
13,"1.3156063556671143"
14,"0"
15,"0"
16,"0.3512957990169525"
17,"0"
18,"0"
19,"4.225470066070557"
20,"0.30984923243522644"
21,"10.713339805603027"
22,"0"
23,"0"
24,"0.3607152998447418"
25,"0.33627137541770935"
26,"0"
27,"7.326208114624023"
28,"0.3512957990169525"
29,"0.3607152998447418"
30,"0.33424559235572815"
31,"7.125061511993408"
32,"27.112689971923828"
33,"0"
34,"5.407052993774414"
35,"7.54078483581543"
36,"2.509324073791504"
37,"0"
38,"9.422717094421387"
39,"0.5647575259208679"
40,"0.664621114730835"
41,"14.613329887390137"
42,"0"
43,"0"
44,"0"
45,"7.4714250564575195"
46,"0.186017706990242"
47,"11.445508003234863"
48,"0"
49,"0.6178735494613647"
50,"0"
51,"8.49378490447998"
52,"0"
53,"0"
54,"7.5500311851501465"
55,"13.179630279541016"
56,"13.179630279541016"
57,"0"
58,"0"
59,"13.179630279541016"
60,"13.179630279541016"
61,"13.179630279541016"
62,"8.369455337524414"
63,"0.31908050179481506"
64,"5.007328987121582"
65,"8.264837265014648"
66,"0.31908050179481506"
67,"8.47407341003418"
68,"9.980563163757324"
69,"0"
70,"2.44917893409729"
71,"4.512777805328369"
72,"4.512777805328369"
73,"4.225470066070557"
74,"8.264837265014648"
75,"5.007328987121582"
76,"54.48406219482422"
77,"8.47407341003418"
78,"4.938353061676025"
79,"0"
80,"0"
81,"9.243842124938965"
82,"25.88306999206543"
83,"26.908639907836914"
84,"11.741596221923828"
85,"14.383382797241211"
86,"11.863064765930176"
87,"5.360254764556885"
88,"0"
89,"0"
90,"6.556881904602051"
91,"15.523819923400879"
92,"6.399620056152344"
93,"0.4402695894241333"
94,"0"
95,"0"
96,"0"
97,"0"
98,"0.7241672873497009"
99,"41.33306121826172"
100,"0"
101,"0"
102,"56.86606979370117"
103,"0"
104,"2.4542198181152344"
105,"0"
106,"8.504185676574707"
107,"15.342789649963379"
108,"0"
109,"4.273620128631592"
110,"0"
111,"0"
112,"0"
113,"12.168256759643555"
114,"0"
115,"0"
116,"0"
117,"0.3195635974407196"
118,"4.934464931488037"
119,"0"
120,"1.9741429090499878"
121,"0"
122,"0"
123,"0"
124,"0"
125,"2.457184076309204"
126,"0.29710718989372253"
127,"13.179630279541016"
128,"0"
129,"0"
130,"0"
131,"2.6160409450531006"
132,"3.6190590858459473"
133,"1.2808849811553955"
134,"0"
135,"0"
136,"3.469303846359253"
137,"0"
138,"18.9755802154541"
139,"28.734426498413086"
140,"0"
141,"0"
142,"0"
143,"7.074784278869629"
144,"17.754810333251953"
145,"3.888688087463379"
146,"3.5090668201446533"
147,"3.0484490394592285"
148,"24.078990936279297"
149,"18.9755802154541"
150,"17.252580642700195"
151,"0.2204660177230835"
152,"46.13574981689453"
153,"0.4806254506111145"
154,"0.4806254506111145"
155,"0.4806254506111145"
156,"0.4806254506111145"
157,"0.4806254506111145"
158,"30.419790267944336"
196,"0"
159,"20.65131950378418"
160,"30.419790267944336"
161,"30.419790267944336"
162,"30.419790267944336"
163,"30.419790267944336"
164,"30.419790267944336"
165,"30.419790267944336"
166,"7.970069885253906"
167,"20.65131950378418"
168,"5.276321887969971"
169,"20.65131950378418"
170,"7.293248176574707"
171,"7.293248176574707"
172,"19.631502151489258"
173,"0.4806254506111145"
174,"0"
175,"3.2906970977783203"
176,"11.741596221923828"
177,"0"
178,"30.419790267944336"
179,"2.457184076309204"
180,"37.76890182495117"
181,"0"
182,"6.08575439453125"
183,"5.566803455352783"
184,"0.6677982211112976"
185,"0.3873880207538605"
186,"5.065216064453125"
187,"0"
188,"0.06592752039432526"
189,"16.967754364013672"
190,"18.38652992248535"
191,"18.38652992248535"
192,"11.202569961547852"
193,"4.017594814300537"
194,"0"
195,"5.017138957977295"
197,"0.6912732720375061"
198,"1.5397169589996338"
199,"0"
200,"0"
201,"0"
202,"13.179630279541016"
203,"0"
204,"3.3567779064178467"
205,"7.2086920738220215"
206,"43.773841857910156"
207,"6.167308807373047"
208,"8.610790252685547"
209,"43.773841857910156"
210,"26.271629333496094"
211,"5.736762046813965"
212,"56.86606979370117"
213,"15.560750007629395"
214,"0.9041745066642761"
215,"0"
216,"16.778709411621094"
217,"0"
218,"3.0484490394592285"
219,"0"
220,"8.529178619384766"
221,"3.0875675678253174"
222,"3.2906970977783203"
223,"12.886200904846191"
224,"0"
225,"0.5234020948410034"
226,"2.897920608520508"
227,"2.897920608520508"
228,"0"
229,"0"
230,"0"
231,"0"
232,"1.0753010511398315"
233,"5.065216064453125"
234,"0"
235,"0"
236,"3.7382094860076904"
237,"7.106784820556641"
238,"3.850023031234741"
239,"0"
240,"0.053279321640729904"
241,"0"
242,"0"
243,"0"
244,"0"
245,"0.8551850914955139"
246,"0.8200405240058899"
247,"0"
248,"0.23953934013843536"
249,"6.013510227203369"
250,"0"
251,"16.746368408203125"
252,"7.065054416656494"
253,"0"
254,"17.991058349609375"
255,"0"
256,"2.1416800022125244"
257,"14.549038887023926"
258,"68.95639038085938"
259,"0"
260,"0"
261,"0"
262,"36.76145935058594"
263,"2.20277738571167"
264,"0"
265,"0.07696335762739182"
266,"4.973435878753662"
267,"0"
268,"0.467210590839386"
269,"0"
270,"0"
271,"0.11309269815683365"
272,"7.593815803527832"
273,"2.5163519382476807"
274,"2.5163519382476807"
275,"0.4458366930484772"
276,"0"
277,"0"
278,"6.167308807373047"
279,"68.95639038085938"
280,"0.11706437915563583"
281,"1.1732629537582397"
282,"41.83095169067383"
283,"41.83095169067383"
284,"7.939158916473389"
285,"0"
286,"1.6810903549194336"
287,"2.5815279483795166"
288,"30.419790267944336"
289,"1.0753010511398315"
290,"0"
291,"0"
292,"2.653114080429077"
293,"0.36436399817466736"
294,"0"
295,"0"
296,"0"
297,"0"
298,"17.991058349609375"
299,"0.05301263928413391"
300,"0.1719842404127121"
301,"3.3093090057373047"
302,"0.1719842404127121"
303,"19.055700302124023"
304,"2.465259075164795"
305,"11.741596221923828"
306,"0"
307,"52.94453811645508"
308,"1.7546770572662354"
309,"9.184065818786621"
310,"1.2404650449752808"
311,"0"
312,"8.416531562805176"
313,"0.5375416874885559"
314,"10.035160064697266"
315,"9.616283416748047"
316,"0"
317,"0.9534541964530945"
318,"11.973310470581055"
319,"2.6948509216308594"
320,"9.067564964294434"
321,"20.114280700683594"
322,"40.189090728759766"
323,"21.411069869995117"
324,"45.466548919677734"
325,"5.649774074554443"
326,"8.586036682128906"
327,"5.283090114593506"
328,"2.527224540710449"
329,"3.1620829105377197"
330,"0"
331,"0"
332,"0"
